,Time,Length,Is_malicious
81579,1659040260.0,74.0,1.0
0,1659040260.904474,204.0,1.0
1,1659040260.904545,58.0,1.0
68573,1659040260.905558,504.0,1.0
2,1659040260.905558,504.0,1.0
68574,1659040260.913574,504.0,1.0
3,1659040260.913574,504.0,1.0
4,1659040260.91958,64.0,1.0
5,1659040260.932585,64.0,1.0
68575,1659040260.988043,504.0,1.0
6,1659040260.988043,504.0,1.0
7,1659040260.99487,504.0,1.0
68576,1659040260.99487,504.0,1.0
68577,1659040260.99487,504.0,1.0
8,1659040260.99487,504.0,1.0
9,1659040260.994942,58.0,1.0
10,1659040261.033836,58.0,1.0
11,1659040261.035322,70.0,1.0
12,1659040261.037089,70.0,1.0
13,1659040261.037142,58.0,1.0
14,1659040261.037322,58.0,1.0
68578,1659040261.038776,504.0,1.0
68579,1659040261.038776,504.0,1.0
15,1659040261.038776,504.0,1.0
16,1659040261.038776,504.0,1.0
17,1659040261.038838,58.0,1.0
18,1659040261.039232,64.0,1.0
19,1659040261.039266,58.0,1.0
20,1659040261.044242,504.0,1.0
68580,1659040261.044242,504.0,1.0
68581,1659040261.044242,504.0,1.0
21,1659040261.044242,504.0,1.0
22,1659040261.044307,58.0,1.0
23,1659040261.070065,504.0,1.0
68582,1659040261.070065,504.0,1.0
68583,1659040261.074045,504.0,1.0
24,1659040261.074045,504.0,1.0
25,1659040261.095596,64.0,1.0
26,1659040261.13941,64.0,1.0
27,1659040261.141042,504.0,1.0
68584,1659040261.141042,504.0,1.0
28,1659040261.141042,394.0,1.0
29,1659040261.141111,58.0,1.0
30,1659040261.143601,504.0,1.0
68585,1659040261.143601,504.0,1.0
31,1659040261.232759,64.0,1.0
32,1659040261.342519,64.0,1.0
33,1659040261.393735,64.0,1.0
34,1659040261.461339,64.0,1.0
36,1659040261.472551,348.0,1.0
68586,1659040261.472551,504.0,1.0
35,1659040261.472551,504.0,1.0
37,1659040261.472699,58.0,1.0
68587,1659040261.507899,504.0,1.0
38,1659040261.507899,504.0,1.0
68588,1659040261.548872,504.0,1.0
40,1659040261.548872,312.0,1.0
39,1659040261.548872,504.0,1.0
41,1659040261.549115,58.0,1.0
43,1659040261.587768,504.0,1.0
68589,1659040261.587768,504.0,1.0
68590,1659040261.587768,504.0,1.0
42,1659040261.587768,504.0,1.0
44,1659040261.587884,58.0,1.0
45,1659040261.621828,504.0,1.0
68591,1659040261.621828,504.0,1.0
46,1659040261.653804,504.0,1.0
68592,1659040261.653804,504.0,1.0
47,1659040261.653804,210.0,1.0
48,1659040261.653887,58.0,1.0
68593,1659040261.658572,504.0,1.0
49,1659040261.658572,504.0,1.0
50,1659040261.658619,58.0,1.0
68594,1659040261.67123,504.0,1.0
51,1659040261.67123,504.0,1.0
52,1659040261.67123,245.0,1.0
53,1659040261.671279,58.0,1.0
68595,1659040261.680096,504.0,1.0
68596,1659040261.680096,504.0,1.0
55,1659040261.680096,504.0,1.0
54,1659040261.680096,504.0,1.0
